row,scale,fit_x_slope,fit_x_offset,fit_y_slope,fit_y_offset,expected_if_sx_plus_sm1,kernel,input,sci,excursion,star,psr_tag,psr,wht_min,wht_max,wht_neg_frac,estimate,tag,coverage,sci_stats,n,wht_pos_min,iscale,output_level,area_normalised_total,input_total,output_area_normalised,ratio,exps,measured_rate,expected_rate,region,native_pos_frac,sup_pos_frac,both_frac,native_not_sup_frac,sup_not_native_frac,n_eff,sci_max_both,sci_max_native_only,sci_equal,wht_equal,max_diff,total_exptime
formula,1,1.0000000000000013,-4.01529754316257e-15,1.0000000000000007,2.311266322422378e-16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
formula,2,2.0000000000000018,0.9999999999999892,2.0000000000000013,0.9999999999999996,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
formula,3,3.000000000000003,1.9999999999999831,3.0000000000000018,1.9999999999999998,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
formula,4,4.000000000000004,2.9999999999999774,4.0000000000000036,2.9999999999999987,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kxscale,1,,,,,,square,A,"{""min"": 99.96100616455078, ""max"": 100.0306625366211, ""mean"": 99.9997452530596, ""median"": 99.99960327148438, ""p1"": 99.97635025024414, ""p5"": 99.98395004272462, ""p95"": 100.01642684936523, ""p99"": 100.0223226928711, ""neg_frac"": 0.0, ""pos_frac"": 1.0, ""nonfinite"": 0.0}","{""valid_support_pixels"": 2304, ""sci_min"": 99.96100616455078, ""sci_max"": 100.0306625366211, ""below_input_min"": 0.0, ""above_input_max"": 0.0, ""overshoot_factor_max"": 1.0, ""undershoot_factor_min"": 1.0, ""neg_frac_on_support"": 0.0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kxscale,1,,,,,,square,B,"{""min"": 99.96451568603516, ""max"": 1099.9915771484375, ""mean"": 106.1358352833324, ""median"": 100.00080490112305, ""p1"": 99.97582695007324, ""p5"": 99.98397636413574, ""p95"": 100.27717514038086, ""p99"": 269.01350463867186, ""neg_frac"": 0.0, ""pos_frac"": 1.0, ""nonfinite"": 0.0}","{""valid_support_pixels"": 2304, ""sci_min"": 99.96451568603516, ""sci_max"": 1099.9915771484375, ""below_input_min"": 0.0, ""above_input_max"": 0.0, ""overshoot_factor_max"": 1.0, ""undershoot_factor_min"": 1.0, ""neg_frac_on_support"": 0.0}","{""aperture_sum"": 14132.57508468628, ""background"": 99.99786758422852, ""peak"": 999.993709564209, ""centroid_x"": 24.000003280635713, ""centroid_y"": 24.000021366509948, ""fwhm"": 1.0, ""n_aperture_pix"": 113}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kxscale,2,,,,,,square,A,"{""min"": 99.96100616455078, ""max"": 100.0306625366211, ""mean"": 99.9997513236271, ""median"": 99.99970626831055, ""p1"": 99.9812515258789, ""p5"": 99.98731231689453, ""p95"": 100.01213073730469, ""p99"": 100.01816215515137, ""neg_frac"": 0.0, ""pos_frac"": 1.0, ""nonfinite"": 0.0}","{""valid_support_pixels"": 9216, ""sci_min"": 99.96100616455078, ""sci_max"": 100.0306625366211, ""below_input_min"": 0.0, ""above_input_max"": 0.0, ""overshoot_factor_max"": 1.0, ""undershoot_factor_min"": 1.0, ""neg_frac_on_support"": 0.0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kxscale,2,,,,,,square,B,"{""min"": 99.96451568603516, ""max"": 1099.9915771484375, ""mean"": 106.13581844915946, ""median"": 100.00057601928711, ""p1"": 99.9813777923584, ""p5"": 99.98755264282227, ""p95"": 100.31593704223633, ""p99"": 318.7796630859375, ""neg_frac"": 0.0, ""pos_frac"": 1.0, ""nonfinite"": 0.0}","{""valid_support_pixels"": 9216, ""sci_min"": 99.96451568603516, ""sci_max"": 1099.9915771484375, ""below_input_min"": 0.0, ""above_input_max"": 0.0, ""overshoot_factor_max"": 1.0, ""undershoot_factor_min"": 1.0, ""neg_frac_on_support"": 0.0}","{""aperture_sum"": 47838.03954696655, ""background"": 102.34367752075195, ""peak"": 997.6478996276855, ""centroid_x"": 48.99998355019819, ""centroid_y"": 49.00000811134841, ""fwhm"": 1.0, ""n_aperture_pix"": 113}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kxscale,3,,,,,,square,A,"{""min"": 0.0, ""max"": 100.0306625366211, ""mean"": 99.53196815686461, ""median"": 99.99955749511719, ""p1"": 99.97410583496094, ""p5"": 99.98313903808594, ""p95"": 100.01643371582031, ""p99"": 100.0224723815918, ""neg_frac"": 0.0, ""pos_frac"": 0.9953221450617284, ""nonfinite"": 0.0}","{""valid_support_pixels"": 20449, ""sci_min"": 99.96100616455078, ""sci_max"": 100.0306625366211, ""below_input_min"": 0.0, ""above_input_max"": 0.0, ""overshoot_factor_max"": 1.0, ""undershoot_factor_min"": 1.0, ""neg_frac_on_support"": 0.0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kxscale,3,,,,,,square,B,"{""min"": 0.0, ""max"": 1099.9915771484375, ""mean"": 105.66802676003657, ""median"": 100.00069427490234, ""p1"": 99.97390747070312, ""p5"": 99.98351287841797, ""p95"": 100.27721405029297, ""p99"": 269.0137023925781, ""neg_frac"": 0.0, ""pos_frac"": 0.9953221450617284, ""nonfinite"": 0.0}","{""valid_support_pixels"": 20449, ""sci_min"": 99.96451568603516, ""sci_max"": 1099.9915771484375, ""below_input_min"": 0.0, ""above_input_max"": 0.0, ""overshoot_factor_max"": 1.0, ""undershoot_factor_min"": 1.0, ""neg_frac_on_support"": 0.0}","{""aperture_sum"": 65370.39924621582, ""background"": 155.6426544189453, ""peak"": 944.3489227294922, ""centroid_x"": 73.44049963291306, ""centroid_y"": 73.4405327655477, ""fwhm"": 1.0, ""n_aperture_pix"": 113}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
