row,kernel,tag,psr_tag,psr,stats,scale,input,raw_sum,area_norm,level,input_sum,measured,expect_wt,expect_wt2,exposure,key,n_native,n_sup,n_stable,robust_wht,dom,n_eff_max,sci_eq,wht_eq,sup1_eq,sup2_eq,total_exptime,max_diff,n,sci_max,wht_max,png,stretch_params,display_mean,display_std,display_p99,flagged,frac,bg
causal,square,translated,cur1,1.0,"{""n"": 14848, ""min"": 0.0, ""max"": 200.00001525878906, ""p1"": 0.0, ""p5"": 0.0, ""p95"": 200.00001525878906, ""p99"": 200.00001525878906, ""neg_frac"": 0.0, ""wht_at_min"": 0.1111111119389534, ""wht_at_max"": 0.1111111119389534, ""input_min"": 0.0, ""input_max"": 200.0, ""frac_outside"": 0.21354166666666666}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
causal,square,translated,inv13,0.3333333333333333,"{""n"": 14848, ""min"": 0.0, ""max"": 200.00001525878906, ""p1"": 0.0, ""p5"": 0.0, ""p95"": 200.00001525878906, ""p99"": 200.00001525878906, ""neg_frac"": 0.0, ""wht_at_min"": 0.1111111119389534, ""wht_at_max"": 0.1111111119389534, ""input_min"": 0.0, ""input_max"": 200.0, ""frac_outside"": 0.21354166666666666}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
causal,square,translated,none,,"{""n"": 14848, ""min"": 0.0, ""max"": 200.00001525878906, ""p1"": 0.0, ""p5"": 0.0, ""p95"": 200.00001525878906, ""p99"": 200.00001525878906, ""neg_frac"": 0.0, ""wht_at_min"": 0.1111111119389534, ""wht_at_max"": 0.1111111119389534, ""input_min"": 0.0, ""input_max"": 200.0, ""frac_outside"": 0.21354166666666666}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
causal,square,translated,diag3,3.0,"{""n"": 14848, ""min"": 0.0, ""max"": 200.00001525878906, ""p1"": 0.0, ""p5"": 0.0, ""p95"": 200.00001525878906, ""p99"": 200.00001525878906, ""neg_frac"": 0.0, ""wht_at_min"": 0.1111111119389534, ""wht_at_max"": 0.1111111119389534, ""input_min"": 0.0, ""input_max"": 200.0, ""frac_outside"": 0.21354166666666666}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
causal,square,rotated,cur1,1.0,"{""n"": 17862, ""min"": 0.0, ""max"": 200.00003051757812, ""p1"": 0.0, ""p5"": 0.0, ""p95"": 200.00001525878906, ""p99"": 200.00001525878906, ""neg_frac"": 0.0, ""wht_at_min"": 0.016833890229463577, ""wht_at_max"": 0.08858343958854675, ""input_min"": 0.0, ""input_max"": 200.0, ""frac_outside"": 0.08400848765432099}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
causal,square,rotated,inv13,0.3333333333333333,"{""n"": 17862, ""min"": 0.0, ""max"": 200.00003051757812, ""p1"": 0.0, ""p5"": 0.0, ""p95"": 200.00001525878906, ""p99"": 200.00001525878906, ""neg_frac"": 0.0, ""wht_at_min"": 0.016833890229463577, ""wht_at_max"": 0.08858343958854675, ""input_min"": 0.0, ""input_max"": 200.0, ""frac_outside"": 0.08400848765432099}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
causal,square,rotated,none,,"{""n"": 17862, ""min"": 0.0, ""max"": 200.00003051757812, ""p1"": 0.0, ""p5"": 0.0, ""p95"": 200.00001525878906, ""p99"": 200.00001525878906, ""neg_frac"": 0.0, ""wht_at_min"": 0.016833890229463577, ""wht_at_max"": 0.08858343958854675, ""input_min"": 0.0, ""input_max"": 200.0, ""frac_outside"": 0.08400848765432099}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
causal,square,rotated,diag3,3.0,"{""n"": 17862, ""min"": 0.0, ""max"": 200.00003051757812, ""p1"": 0.0, ""p5"": 0.0, ""p95"": 200.00001525878906, ""p99"": 200.00001525878906, ""neg_frac"": 0.0, ""wht_at_min"": 0.016833890229463577, ""wht_at_max"": 0.08858343958854675, ""input_min"": 0.0, ""input_max"": 200.0, ""frac_outside"": 0.08400848765432099}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
causal,square,rot_trans,cur1,1.0,"{""n"": 17002, ""min"": 0.0, ""max"": 200.00003051757812, ""p1"": 0.0, ""p5"": 0.0, ""p95"": 200.00001525878906, ""p99"": 200.00001525878906, ""neg_frac"": 0.0, ""wht_at_min"": 0.01357171218842268, ""wht_at_max"": 0.1111111119389534, ""input_min"": 0.0, ""input_max"": 200.0, ""frac_outside"": 0.09191743827160494}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
causal,square,rot_trans,inv13,0.3333333333333333,"{""n"": 17002, ""min"": 0.0, ""max"": 200.00003051757812, ""p1"": 0.0, ""p5"": 0.0, ""p95"": 200.00001525878906, ""p99"": 200.00001525878906, ""neg_frac"": 0.0, ""wht_at_min"": 0.01357171218842268, ""wht_at_max"": 0.1111111119389534, ""input_min"": 0.0, ""input_max"": 200.0, ""frac_outside"": 0.09191743827160494}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
