order,batch_id,mount,bortle,telescope,session_date,filter,exposure,file_path
1,S50_5345207e_2025-05-10_IRCUT,ALTZ,3,S50_5345207e,2025-05-10,IRCUT,30.0,C:\Users\TRISTAN\Desktop\astrophoto\NGC 7023\very quick\Light_NGC 7023_30.0s_IRCUT_20250510-044434.fit
2,S50_5345207e_2025-05-10_IRCUT,ALTZ,3,S50_5345207e,2025-05-10,IRCUT,30.0,C:\Users\TRISTAN\Desktop\astrophoto\NGC 7023\very quick\Light_NGC 7023_30.0s_IRCUT_20250510-044536.fit
3,S50_5345207e_2025-05-10_IRCUT,ALTZ,3,S50_5345207e,2025-05-10,IRCUT,30.0,C:\Users\TRISTAN\Desktop\astrophoto\NGC 7023\very quick\Light_NGC 7023_30.0s_IRCUT_20250510-044713.fit
4,S50_5345207e_2025-05-10_IRCUT,ALTZ,3,S50_5345207e,2025-05-10,IRCUT,30.0,C:\Users\TRISTAN\Desktop\astrophoto\NGC 7023\very quick\Light_NGC 7023_30.0s_IRCUT_20250510-044744.fit
5,S50_5345207e_2025-05-10_IRCUT,ALTZ,3,S50_5345207e,2025-05-10,IRCUT,30.0,C:\Users\TRISTAN\Desktop\astrophoto\NGC 7023\very quick\Light_NGC 7023_30.0s_IRCUT_20250510-044815.fit
6,S50_5345207e_2025-05-10_IRCUT,ALTZ,3,S50_5345207e,2025-05-10,IRCUT,30.0,C:\Users\TRISTAN\Desktop\astrophoto\NGC 7023\very quick\Light_NGC 7023_30.0s_IRCUT_20250510-044952.fit
7,S50_5345207e_2025-05-10_IRCUT,ALTZ,3,S50_5345207e,2025-05-10,IRCUT,30.0,C:\Users\TRISTAN\Desktop\astrophoto\NGC 7023\very quick\Light_NGC 7023_30.0s_IRCUT_20250510-045124.fit
8,S50_5345207e_2025-05-10_IRCUT,ALTZ,3,S50_5345207e,2025-05-10,IRCUT,30.0,C:\Users\TRISTAN\Desktop\astrophoto\NGC 7023\very quick\Light_NGC 7023_30.0s_IRCUT_20250510-044916.fit
9,S50_5345207e_2025-05-10_IRCUT,ALTZ,3,S50_5345207e,2025-05-10,IRCUT,30.0,C:\Users\TRISTAN\Desktop\astrophoto\NGC 7023\very quick\Light_NGC 7023_30.0s_IRCUT_20250510-045053.fit
10,S50_5345207e_2025-05-10_IRCUT,ALTZ,3,S50_5345207e,2025-05-10,IRCUT,30.0,C:\Users\TRISTAN\Desktop\astrophoto\NGC 7023\very quick\Light_NGC 7023_30.0s_IRCUT_20250510-045155.fit
